team,seed,wins,losses,ppg,oppg
Duke,1,32,2,81.9,63.1
Arizona,1,32,2,86.1,68.4
Michigan,1,31,3,87.4,69.6
Florida,1,26,7,87.1,71.5
UConn,2,29,5,77.6,65.3
Purdue,2,29,8,82.2,70.1
Iowa State,2,29,7,82.5,65.3
Houston,2,28,6,77.5,62.2
Michigan State,3,27,7,79.3,68.4
Gonzaga,3,31,4,84.3,66.2
Illinois,3,26,8,84.7,69.4
Virginia,3,30,6,80.4,68.8
St. John's,5,30,6,81.1,69.4
Kansas,6,24,11,75.1,69.1
Alabama,6,25,9,91.6,82.5
Arkansas,8,28,8,90.2,80.2
Wisconsin,7,24,11,83.0,76.1
Tennessee,5,24,11,79.4,69.1
North Carolina,7,24,9,79.7,71.6
Nebraska,4,28,6,77.1,65.8
BYU,9,23,12,83.5,75.4
Kentucky,10,22,14,80.5,74.3
Louisville,9,24,11,84.3,72.5
UCLA,8,24,12,77.1,71.1
Texas Tech,7,22,10,76.8,67.9
Vanderbilt,8,26,8,82.4,74.3
Clemson,6,24,10,77.5,68.2
Villanova,8,24,8,78.9,70.4
Ohio State,10,21,12,79.2,73.1
Georgia,9,22,10,74.6,67.3
TCU,10,22,11,76.3,70.2
Utah State,9,22,10,74.3,67.8
Saint Mary's,6,27,5,79.1,65.2
Miami FL,10,25,8,83.7,76.4
Baylor,7,20,13,74.8,69.5
Texas A&M,11,21,12,73.9,68.2
Xavier,8,22,11,80.1,73.6
Missouri,11,22,11,77.4,71.8
Oklahoma,11,21,12,75.2,69.1
Ole Miss,12,22,10,80.4,75.3
Colorado State,11,25,9,77.8,69.3
Memphis,12,22,10,82.5,77.2
New Mexico,12,24,9,77.2,70.1
UC San Diego,14,25,7,73.1,63.4
Vermont,15,27,5,79.3,68.4
Akron,13,24,8,78.2,72.1
Lipscomb,15,24,8,79.8,72.9
High Point,15,27,6,83.4,74.1
Northern Iowa,12,19,13,72.3,68.4
Idaho,15,24,8,74.6,73.1
